reading_id,machine_id,shift,timestamp,temperature_c,vibration_mm_s,qa_result
R000000,M-19,Night,2025-06-19 17:28:00,81.0,2.28,Pass
R000001,M-17,Morning,2025-06-24 15:46:00,94.7,2.89,Pass
R000002,M-07,morning,2025-06-04 13:39:00,88.0,4.36,Pass
R000003,M-20,Night,2025-06-15 22:17:00,93.8,2.97,Pass
R000004,M-04,NIGHT,2025-06-16 06:15:00,81.2,0.95,Pass
R000005,M-02,Morning,2025-06-13 18:41:00,65.3,2.52,Pass
R000006,M-05,morning,2025-06-09 22:51:00,67.8,3.93,Pass
R000007,M-12,Night,2025-06-26 14:38:00,91.9,4.4,Pass
R000008,M-19,Morning,2025-06-22 18:51:00,70.5,3.2,Fail
R000009,M-01,Morning,2025-06-26 00:54:00,79.5,0.7,Pass
R000010,M-04,Night,2025-06-09 02:19:00,67.8,2.1,Pass
R000011,M-20,Morning,2025-06-18 23:34:00,50.0,0.52,Pass
R000012,M-11,NIGHT,2025-06-16 11:35:00,45.9,4.35,Pass
R000013,M-19,morning,2025-06-21 06:23:00,45.4,3.52,Pass
R000014,M-17,Morning,2025-06-01 01:42:00,79.2,3.19,Pass
R000015,M-17,morning,2025-06-09 08:18:00,55.0,3.33,Pass
R000016,M-10,NIGHT,2025-06-18 22:26:00,63.3,3.55,Fail
R000017,M-20,Night,2025-06-24 11:54:00,50.9,0.32,Pass
R000018,M-04,morning,2025-06-06 15:45:00,72.2,0.86,Pass
R000019,M-03,Evening,2025-06-10 21:10:00,87.6,1.35,Fail
R000020,M-11,Evening,2025-06-20 15:52:00,65.5,3.41,Pass
R000021,M-16,morning,2025-06-10 16:17:00,53.8,3.64,Fail
R000022,M-13,Night,2025-06-25 05:07:00,87.0,1.68,Fail
R000023,M-03,Morning,2025-06-14 15:11:00,79.0,2.99,Pass
R000024,M-09,Morning,2025-06-22 09:42:00,90.2,99.9,Fail
R000025,M-17,Morning,2025-06-19 19:02:00,44.7,3.34,Pass
R000026,M-16,Night,2025-06-18 22:42:00,61.6,3.57,Pass
R000027,M-20,morning,2025-06-13 10:08:00,66.1,3.99,Pass
R000028,M-15,Morning,2025-06-08 17:59:00,55.9,1.23,Pass
R000029,M-14,NIGHT,2025-06-12 03:35:00,83.0,3.7,Fail
R000030,M-05,Night,2025-06-09 23:25:00,61.3,4.95,Pass
R000031,M-05,Night,2025-06-15 19:59:00,69.3,3.67,Pass
R000032,M-16,Evening,2025-06-15 13:43:00,80.1,2.43,Pass
R000033,M-02,morning,2025-06-09 00:05:00,68.7,1.2,Pass
R000034,M-15,morning,2025-06-13 04:45:00,92.1,2.13,Pass
R000035,M-06,morning,2025-06-05 00:18:00,54.3,3.52,Fail
R000036,M-13,Evening,2025-06-05 21:13:00,82.4,2.03,Pass
R000037,M-11,morning,2025-06-14 13:37:00,,2.94,Pass
R000038,M-19,Night,2025-06-03 21:30:00,74.6,4.2,Pass
R000039,M-13,Evening,2025-06-01 18:01:00,43.4,2.03,Pass
R000040,M-05,Morning,2025-06-03 10:46:00,59.7,0.48,Pass
R000041,M-02,morning,2025-06-24 05:30:00,65.4,3.73,Pass
R000042,M-10,NIGHT,2025-06-05 22:04:00,45.0,3.73,Pass
R000043,M-07,morning,2025-06-12 05:04:00,73.2,1.89,Fail
R000044,M-16,Evening,2025-06-28 02:39:00,57.4,3.77,Pass
R000045,M-15,morning,2025-06-22 08:04:00,78.3,1.74,Pass
R000046,M-17,NIGHT,2025-06-27 14:43:00,79.3,0.28,Pass
R000047,M-06,NIGHT,2025-06-28 12:59:00,61.1,3.85,Pass
R000048,M-11,Night,2025-06-25 23:45:00,50.1,4.13,Pass
R000049,M-01,Morning,2025-06-06 19:02:00,71.6,1.16,Pass
R000050,M-07,Evening,2025-06-18 19:10:00,68.0,1.06,Pass
R000051,M-14,Morning,2025-06-08 03:03:00,43.5,2.23,Pass
R000052,M-03,Night,2025-06-23 17:49:00,66.5,3.5,Pass
R000053,M-17,Night,2025-06-08 20:43:00,,3.27,Pass
R000054,M-19,Night,2025-06-19 19:50:00,81.4,2.42,Pass
R000055,M-11,NIGHT,2025-06-28 07:23:00,48.6,1.18,Pass
R000056,M-12,Evening,2025-06-25 21:14:00,57.8,2.5,Pass
R000057,M-14,Evening,2025-06-01 06:16:00,83.1,0.84,Fail
